0	0	0	0	0	206	207	208	209	210	211	212	213	214	215	
0	0	0	0	0	216	217	218	219	220	221	222	223	224	225	
0	0	0	0	0	226	227	228	229	230	231	232	233	234	235	
0	0	0	0	0	236	237	238	239	240	241	242	243	244	245	
0	0	0	0	0	246	247	248	249	250	251	252	253	254	255	
0	0	0	0	0	256	257	258	259	260	261	262	263	264	265	
0	0	0	0	0	266	267	268	269	270	271	272	273	274	275	
0	0	0	0	0	276	277	278	279	280	281	282	283	284	285	
0	0	0	0	0	287	288	289	290	291	292	293	294	295	296	
0	0	0	0	297	298	299	300	301	302	303	304	305	306	307	
0	0	0	0	0	308	309	310	311	312	313	314	315	316	317	
0	0	0	0	0	318	319	320	321	322	323	324	325	326	327	
0	0	0	0	0	328	329	330	331	332	333	334	335	336	337	
0	0	0	0	0	338	339	340	341	342	343	344	345	346	347	
0	0	0	0	0	348	349	350	351	352	353	354	355	356	357	
0	0	0	0	0	358	359	360	361	362	363	364	365	366	367	
0	0	0	0	0	0	368	369	370	371	372	373	374	375	376	
0	0	0	0	0	0	0	377	378	379	380	381	382	383	384	
0	0	0	0	0	0	0	0	385	386	387	388	389	390	391	
0	0	0	0	0	0	0	0	0	392	393	394	395	396	397	
0	0	0	0	0	0	0	0	0	398	399	400	401	402	403	
0	0	0	0	0	0	0	0	0	0	404	405	406	407	408	
0	0	0	0	0	0	0	0	0	0	0	409	410	411	412	
0	0	0	0	0	0	0	0	0	0	0	0	0	413	414	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
